City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
85,Puerto Ayora,EC,1579318062,-0.74,-90.35,27,66,77.0,3.65
86,Berlevag,NO,1579318042,70.86,29.09,0,68,25.92,14.36
87,Acarau,BR,1579317640,-2.89,-40.12,94,86,77.25,4.14
88,Healesville,AU,1579318062,-37.65,145.52,24,47,89.01,13.87
89,Cherskiy,RU,1579318062,68.75,161.3,99,87,-20.81,2.62
90,Saint-Philippe,RE,1579317463,-21.36,55.77,100,74,80.6,3.36
91,East London,ZA,1579318063,-33.02,27.91,75,94,69.8,12.75
92,Ushuaia,AR,1579317988,-54.8,-68.3,90,81,46.4,12.75
93,Port Hardy,CA,1579317399,50.7,-127.42,90,74,35.6,31.09
94,Pinawa,CA,1579318063,50.15,-95.88,100,88,19.89,10.38
95,Skovorodino,RU,1579318063,53.98,123.92,100,91,-3.14,1.32
96,Bubaque,GW,1579317847,11.28,-15.83,0,61,77.18,6.26
97,Hearst,CA,1579317769,49.68,-83.67,100,94,4.59,5.59
98,Kavieng,PG,1579317896,-2.57,150.8,0,74,84.92,25.39
99,Portsmouth,GB,1579318064,50.8,-1.09,0,100,39.99,9.17
100,San Patricio,MX,1579318064,19.22,-104.7,94,81,79.61,7.0
101,Rio Gallegos,AR,1579317819,-51.62,-69.22,58,62,51.8,16.11
102,Shieli,KZ,1579317889,44.17,66.75,0,66,21.74,5.3
103,Klyuchi,RU,1579317764,52.27,79.17,99,92,17.76,9.73
104,Kochevo,RU,1579318064,59.6,54.31,97,92,25.38,10.31
105,Grand Gaube,MU,1579318064,-20.01,57.66,75,88,82.0,4.7
106,Pevek,RU,1579318064,69.7,170.31,100,95,-14.57,3.06
107,Tiksi,RU,1579318064,71.69,128.87,97,86,-11.61,12.64
108,Ossora,RU,1579318065,59.24,163.07,0,70,3.67,2.26
109,Ponta do Sol,PT,1579318065,32.67,-17.1,20,82,60.8,3.36
110,Klaksvik,FO,1579317477,62.23,-6.59,100,80,39.2,27.51
111,Vestmannaeyjar,IS,1579317495,63.44,-20.27,38,60,39.69,17.2
112,Nyurba,RU,1579318033,63.28,118.33,100,93,7.2,7.45
113,Albany,US,1579318066,42.6,-73.97,40,51,12.2,10.29
114,Trinidad,BO,1579318069,-14.83,-64.9,83,85,77.32,3.0
115,Nouadhibou,MR,1579317508,20.93,-17.03,92,45,62.6,16.11
116,Codrington,AU,1579318069,-38.27,141.97,49,85,63.43,12.55
117,Arrondissement de Vierzon,FR,1579318069,47.21,2.06,0,100,37.99,5.82
118,Richards Bay,ZA,1579317463,-28.78,32.04,100,85,76.8,6.44
119,Ebnat-Kappel,CH,1579318070,47.26,9.12,90,86,41.0,4.7
120,Port Macquarie,AU,1579317520,-31.43,152.92,75,100,71.01,6.93
121,Vuktyl,RU,1579318070,63.86,57.31,98,96,11.89,4.09
122,Isfana,KG,1579318070,39.84,69.53,40,92,21.2,4.47
123,Along,IN,1579318071,28.17,94.77,71,81,57.0,2.77
124,Ranong,TH,1579317497,9.97,98.63,20,62,86.0,6.93
125,Margate,GB,1579317485,51.38,1.39,0,93,37.99,10.29
126,Souillac,MU,1579318058,-20.52,57.52,75,88,82.0,4.7
127,Longyearbyen,SJ,1579318019,78.22,15.64,75,77,3.2,3.36
128,Lichuan,CN,1579318071,30.3,108.85,85,73,38.79,2.06
129,Sai Buri,TH,1579318071,6.7,101.62,75,88,80.6,4.7
130,Estevan,CA,1579318071,49.13,-102.98,90,70,-0.4,25.28
131,Aubenas,FR,1579318072,44.62,4.39,0,75,44.6,14.99
132,Kruisfontein,ZA,1579317862,-34.0,24.73,100,87,62.17,9.46
133,Bredasdorp,ZA,1579318055,-34.53,20.04,100,82,62.6,9.17
134,Zunheboto,IN,1579318074,25.97,94.52,0,61,60.46,1.7
135,Bariloche,AR,1579318074,-41.15,-71.31,0,58,59.0,4.7
136,Auki,SB,1579318074,-8.77,160.7,100,72,84.38,11.97
137,Olafsvik,IS,1579317790,64.89,-23.71,44,64,33.73,17.02
138,Mahebourg,MU,1579318074,-20.41,57.7,75,88,82.0,4.7
139,Camabatela,AO,1579318075,-8.19,15.38,100,97,65.34,7.0
140,Hasaki,JP,1579318050,35.73,140.83,75,86,41.0,17.22
141,Ribeira Grande,PT,1579317256,38.52,-28.7,60,92,58.84,6.87
142,Talavera de la Reina,ES,1579318037,39.96,-4.83,100,94,45.09,0.87
143,Sao Joao da Barra,BR,1579317869,-21.64,-41.05,100,88,75.02,20.62
144,Nizwa,OM,1579317508,22.93,57.53,0,56,51.15,0.63
145,Tasiilaq,GL,1579318057,65.61,-37.64,0,61,15.8,1.12
146,Torbay,CA,1579318057,47.67,-52.73,90,92,24.01,69.64
147,Port Alfred,ZA,1579318006,-33.59,26.89,100,97,66.99,5.01
148,Albury,AU,1579318015,-36.08,146.92,0,29,89.01,4.7
149,Beringovskiy,RU,1579317764,63.05,179.32,100,96,29.44,21.09
150,Chippewa Falls,US,1579317877,44.94,-91.39,90,100,24.8,12.75
151,Donskoye,RU,1579318079,45.46,41.97,90,100,26.6,8.95
152,Pacific Grove,US,1579318079,36.62,-121.92,1,76,48.99,4.7
153,Kang,BW,1579318079,-23.68,22.79,7,68,64.47,3.65
154,Karratha,AU,1579318080,-20.74,116.85,46,70,86.65,17.45
155,Pontecorvo,IT,1579318080,41.46,13.67,71,93,46.99,5.82
156,Bethel,US,1579318080,41.37,-73.41,1,33,21.99,6.93
157,Aksu,CN,1579317826,41.12,80.26,0,74,20.97,1.12
158,Emba,KZ,1579318080,48.83,58.14,100,96,13.95,4.59
159,Kodiak,US,1579318080,57.79,-152.41,75,80,33.8,17.22
160,Aden,YE,1579317842,12.78,45.04,0,58,69.19,7.25
161,Ringkobing,DK,1579318080,56.09,8.24,41,93,45.0,9.17
162,Maltahohe,NA,1579318081,-24.83,16.98,6,55,68.22,9.6
163,Pierre,US,1579318081,44.37,-100.35,90,78,14.0,33.33
164,Mount Gambier,AU,1579317850,-37.83,140.77,75,46,73.4,9.17
165,High Prairie,CA,1579318081,55.43,-116.49,100,98,-16.19,5.5
166,Gravdal,NO,1579318081,68.12,13.5,38,71,34.27,18.21
167,Angoche,MZ,1579318081,-16.23,39.91,100,95,76.12,3.42
168,Ahipara,NZ,1579317783,-35.17,173.17,0,56,84.99,16.44
169,Sinnamary,GF,1579317488,5.38,-52.95,70,82,79.25,15.03
170,Veraval,IN,1579317483,20.9,70.37,0,48,58.73,12.39
171,Lebu,CL,1579318082,-37.62,-73.65,0,80,59.11,4.65
172,Moron,AR,1579317906,-34.65,-58.62,0,49,73.4,8.05
173,Kakonko,TZ,1579318082,-3.28,30.96,100,95,65.34,1.68
174,Aasiaat,GL,1579318082,68.71,-52.87,90,94,-4.97,3.85
175,Port Elizabeth,ZA,1579318082,-33.92,25.57,90,82,66.2,11.41
176,Port Lincoln,AU,1579317398,-34.73,135.87,0,53,66.2,9.4
177,Narsaq,GL,1579318082,60.92,-46.05,100,85,21.2,2.24
178,Carnarvon,AU,1579318082,-24.87,113.63,0,65,82.4,23.04
179,Ginda,IN,1579318082,30.69,78.49,100,79,39.67,2.53
180,Corinth,GR,1579317874,37.94,22.96,75,66,48.2,4.7
181,Suamico,US,1579317776,44.63,-88.04,90,92,28.0,11.41
182,Kumeny,RU,1579318083,58.11,49.92,100,97,32.68,12.91
183,Bereda,ES,1579318083,43.27,-7.54,100,66,51.01,16.11
184,Guerrero Negro,MX,1579317802,27.98,-114.06,8,76,58.39,9.95
185,Iberia,US,1579318084,29.95,-91.75,90,93,68.0,9.17
186,Ostrovnoy,RU,1579317823,68.05,39.51,41,95,6.87,8.99
187,Provideniya,RU,1579318077,64.38,-173.3,76,94,3.29,7.18
188,Qaqortoq,GL,1579317779,60.72,-46.03,81,85,21.2,2.24
189,Zaysan,KZ,1579318085,47.47,84.87,100,91,12.56,4.12
190,Qaanaaq,GL,1579318085,77.48,-69.36,0,62,-16.2,7.9
191,Tuatapere,NZ,1579318066,-46.13,167.68,100,35,73.58,5.73
192,Ambon,ID,1579318085,-3.7,128.18,40,59,91.4,13.87
193,Khovd,MN,1579317781,48.01,91.64,100,59,7.09,9.26
194,Harper,LR,1579317920,4.38,-7.72,0,94,76.91,1.68
195,Lompoc,US,1579318085,34.64,-120.46,1,87,51.01,7.61
196,Smithers,CA,1579318086,54.78,-127.17,90,59,1.4,10.29
197,Evensk,RU,1579318086,61.95,159.23,100,89,-3.42,7.87
198,Constitucion,CL,1579317915,-35.33,-72.42,0,83,55.33,3.22
199,Maragogi,BR,1579317935,-9.01,-35.22,30,76,80.82,13.13
200,San Juan,AR,1579318063,-31.54,-68.54,48,37,79.9,13.33
201,Sandur,IN,1579318087,15.1,76.55,29,86,67.87,12.44
202,Sambava,MG,1579318087,-14.27,50.17,99,95,73.65,2.46
203,Manavalakurichi,IN,1579317837,8.13,77.3,20,74,82.4,5.82
204,Taseyevo,RU,1579318087,57.22,94.9,100,83,20.01,11.21
205,Nanchang,CN,1579318088,28.68,115.88,0,69,46.96,7.94
