City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
84,Clyde River,CA,1579306812,70.47,-68.59,20,75,-18.4,9.17
85,Sitka,US,1579306812,57.05,-135.33,20,45,24.8,17.22
86,Diffa,NE,1579306812,13.32,12.61,1,43,63.63,11.48
87,Westport,US,1579306812,41.14,-73.36,1,24,28.0,8.05
88,Yumen,CN,1579306813,40.28,97.2,97,92,16.74,22.41
89,Cherskiy,RU,1579306814,68.75,161.3,45,86,-25.26,2.26
90,Kodiak,US,1579306632,57.79,-152.41,90,64,33.8,16.11
91,Mahebourg,MU,1579306706,-20.41,57.7,40,78,80.6,8.05
92,Taltal,CL,1579306814,-25.4,-70.48,8,74,67.5,0.83
93,Ilulissat,GL,1579306745,69.22,-51.1,95,54,1.4,16.11
94,Turukhansk,RU,1579306814,65.82,87.98,100,95,-14.19,9.46
95,Ixtapa,MX,1579306548,20.7,-105.2,20,69,82.4,10.29
96,Balagansk,RU,1579306814,54.01,103.05,12,96,-3.71,6.04
97,Kearney,US,1579306614,40.7,-99.08,90,96,33.01,3.36
98,San Patricio,MX,1579306815,19.22,-104.7,75,74,84.2,5.82
99,Giohar,SO,1579306815,2.78,45.5,36,73,72.07,13.91
100,Thompson,CA,1579306767,55.74,-97.86,90,70,-5.8,8.05
101,Bulgan,MN,1579306816,48.81,103.53,0,76,-5.55,4.85
102,Barra do Garcas,BR,1579306816,-15.89,-52.26,95,85,76.55,2.3
103,Half Moon Bay,US,1579306816,37.46,-122.43,1,71,57.0,5.82
104,Vila Franca do Campo,PT,1579306816,37.72,-25.43,75,93,62.6,6.93
105,College,US,1579306818,64.86,-147.8,1,75,1.99,0.63
106,Betioky,MG,1579306818,-23.72,44.38,0,79,74.66,1.52
107,Cabo San Lucas,MX,1579306654,22.89,-109.91,5,34,80.6,9.17
108,Suntar,RU,1579306818,62.14,117.63,95,91,9.37,6.31
109,Buchanan,LR,1579306818,5.88,-10.05,20,94,77.0,4.05
